Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159
33,No,Non-Travel,750,Sales,22,2,Marketing,1,160
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,165
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,1,170
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,171
50,No,Travel_Frequently,809,Sales,12,3,Marketing,1,174
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,177
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,1,178
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,190
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,1,192
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,193
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,194
32,No,Travel_Frequently,689,Sales,9,2,Medical,1,195
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,197
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,1,198
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,199
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,1,200
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,1,202
35,No,Travel_Rarely,662,Sales,1,5,Marketing,1,204
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,1,205
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,1,206
32,No,Travel_Frequently,967,Sales,8,3,Marketing,1,207
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,1,208
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,1,211
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,1,214
40,No,Travel_Rarely,630,Sales,4,4,Marketing,1,215
34,No,Travel_Frequently,303,Sales,2,4,Marketing,1,216
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217
27,No,Non-Travel,691,Research & Development,9,3,Medical,1,218
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,1,221
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,1,223
27,No,Non-Travel,1450,Research & Development,3,3,Medical,1,224
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,1,226
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,227
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,228
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,230
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,231
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,1,233
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,1,238
30,No,Non-Travel,111,Research & Development,9,3,Medical,1,239
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,1,240
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,241
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,242
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243
46,No,Travel_Rarely,526,Sales,1,2,Marketing,1,244
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,245
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,1,246
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,1,247
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,1,248
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,1,249
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,1,250
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,252
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,1,253
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,1,254
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,256
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,1,258
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,259
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,260
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,1,261
43,No,Non-Travel,1344,Research & Development,7,3,Medical,1,262
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,264
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,267
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,1,269
42,No,Non-Travel,926,Research & Development,21,2,Medical,1,270
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,271
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,273
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,274
49,No,Non-Travel,1002,Research & Development,18,4,Life Sciences,1,275
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,1,277
40,No,Travel_Rarely,905,Research & Development,19,2,Medical,1,281
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,1,282
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,1,283
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,286
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,287
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,1,288
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,291
30,No,Non-Travel,829,Research & Development,1,1,Life Sciences,1,292
27,No,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,293
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,296
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,1,297
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,1,298
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,299
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,300
45,No,Non-Travel,1052,Sales,6,3,Medical,1,302
54,No,Travel_Rarely,1147,Sales,3,3,Marketing,1,303
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,304
33,No,Travel_Rarely,147,Research & Development,4,4,Medical,1,305
37,No,Travel_Frequently,663,Research & Development,11,3,Other,1,306
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,307
31,No,Non-Travel,979,Research & Development,1,4,Medical,1,308
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,309
37,No,Travel_Frequently,319,Sales,4,4,Marketing,1,311
29,No,Travel_Frequently,1413,Sales,1,1,Medical,1,312
35,No,Travel_Frequently,944,Sales,1,3,Marketing,1,314
29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,1,315
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,1,316
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,319
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,1,321
50,No,Travel_Rarely,854,Sales,1,4,Medical,1,323
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,1,325
43,No,Travel_Rarely,1034,Sales,16,3,Marketing,1,327
33,Yes,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,328
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,329
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,1,330
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,331
39,No,Travel_Rarely,1431,Research & Development,1,4,Medical,1,332
32,No,Non-Travel,976,Sales,26,4,Marketing,1,333
41,No,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,1,334
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,335
45,No,Travel_Rarely,252,Research & Development,1,3,Other,1,336
31,No,Travel_Frequently,1327,Research & Development,3,4,Medical,1,337
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,338
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,339
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,1,340
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,341
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,342
39,No,Travel_Frequently,505,Research & Development,2,4,Technical Degree,1,343
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,346
42,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,1,347
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,1,349
25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,350
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,1,351
40,No,Travel_Rarely,1416,Research & Development,2,2,Medical,1,352
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,353
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,1,355
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,359
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,1,361
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,362
46,No,Travel_Rarely,488,Sales,2,3,Technical Degree,1,363
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,364
29,No,Travel_Rarely,1210,Sales,2,3,Medical,1,366
31,No,Travel_Rarely,1463,Research & Development,23,3,Medical,1,367
25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,1,372
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,373
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,374
47,Yes,Non-Travel,666,Research & Development,29,4,Life Sciences,1,376
28,No,Travel_Rarely,1158,Research & Development,9,3,Medical,1,377
37,No,Travel_Rarely,228,Sales,6,4,Medical,1,378
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,380
35,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,1,381
38,No,Travel_Rarely,322,Sales,7,2,Medical,1,382
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384
50,No,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,385
53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,1,386
42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,1,387
29,No,Travel_Frequently,442,Sales,2,2,Life Sciences,1,388
55,No,Travel_Rarely,147,Research & Development,20,2,Technical Degree,1,389
26,No,Travel_Frequently,496,Research & Development,11,2,Medical,1,390
37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391
44,Yes,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,392
38,No,Travel_Rarely,688,Research & Development,23,4,Life Sciences,1,393
26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,1,394
28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,395
49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,1,396
36,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,397
31,No,Travel_Frequently,444,Sales,5,3,Marketing,1,399
26,Yes,Travel_Rarely,950,Sales,4,4,Marketing,1,401
37,No,Travel_Frequently,889,Research & Development,9,3,Medical,1,403
42,No,Travel_Frequently,555,Sales,26,3,Marketing,1,404
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405
35,No,Travel_Rarely,1232,Sales,16,3,Marketing,1,406
36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,407
51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,1,408
41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410
18,No,Travel_Rarely,812,Sales,10,3,Medical,1,411
28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,1,412
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,1,416
39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417
36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,419
32,No,Travel_Rarely,906,Sales,7,3,Life Sciences,1,420
38,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421
58,No,Non-Travel,390,Research & Development,1,4,Life Sciences,1,422
31,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,423
31,No,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,424
45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425
31,No,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,426
33,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,428
39,No,Travel_Rarely,117,Research & Development,10,1,Medical,1,429
43,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,1,430
49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,431
52,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,1,433
27,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,434
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,1,436
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437
31,No,Travel_Rarely,691,Sales,7,3,Marketing,1,438
32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,1,439
28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,1,440
30,No,Travel_Rarely,1275,Research & Development,28,2,Medical,1,441
31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,442
39,No,Travel_Frequently,672,Research & Development,7,2,Medical,1,444
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,1,445
33,No,Travel_Frequently,508,Sales,10,3,Marketing,1,446
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448
27,No,Non-Travel,210,Sales,1,1,Marketing,1,449
54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,450
43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451
45,No,Travel_Rarely,549,Research & Development,8,4,Other,1,452
40,No,Travel_Rarely,1124,Sales,1,2,Medical,1,453
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,454
29,No,Travel_Rarely,738,Research & Development,9,5,Other,1,455
30,No,Travel_Rarely,570,Sales,5,3,Marketing,1,456
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462
29,No,Travel_Rarely,144,Sales,10,1,Marketing,1,463
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466
47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468
29,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471
48,No,Travel_Rarely,530,Sales,29,1,Medical,1,473
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474
30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,477
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478
36,No,Non-Travel,845,Sales,1,5,Medical,1,479
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,1,482
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483
21,No,Non-Travel,895,Sales,9,2,Medical,1,484
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,1,486
46,No,Non-Travel,1144,Research & Development,7,4,Medical,1,487
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,488
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,492
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,1,499
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511
36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515
40,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522
34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,1,526
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527
37,No,Non-Travel,1063,Research & Development,25,5,Medical,1,529
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532
